marital_status,course,nationality,father_qualif,mother_occ,admission_grade,tuition_fees_up_to_date,scholarship,age_at_enrollment,units_1_credited,units_1_approved,units_2_enrolled,units_2_evaluations,units_2_approved,units_2_no_evaluations,unemployment_rate,inflation_rate,target
1,171,1,12,5,127.3,1,0,20,0,0,0,0,0,0,10.8,1.4,Dropout
1,9254,1,3,3,142.5,0,0,19,0,6,6,6,6,0,13.9,-0.3,Graduate
1,9070,1,37,9,124.8,0,0,19,0,0,6,0,0,0,10.8,1.4,Dropout
1,9773,1,37,5,119.6,1,0,20,0,6,6,10,5,0,9.4,-0.8,Graduate
2,8014,1,38,9,141.5,1,0,45,0,5,6,6,6,0,13.9,-0.3,Graduate
2,9991,1,37,9,114.8,1,0,50,0,5,5,17,5,5,16.2,0.3,Graduate
1,9500,1,38,7,128.4,1,1,18,0,7,8,8,8,0,15.5,2.8,Graduate
1,9254,1,37,9,113.1,0,0,22,0,0,5,5,0,0,15.5,2.8,Dropout
1,9238,62,1,9,129.3,1,1,21,0,6,6,7,6,0,16.2,0.3,Graduate
1,9238,1,19,4,123.0,0,0,18,0,5,6,14,2,0,8.9,1.4,Dropout
1,9670,1,19,5,130.6,1,0,18,0,6,6,7,5,0,13.9,-0.3,Graduate
1,9500,1,38,9,119.3,1,1,18,0,7,8,8,7,0,12.7,3.7,Graduate
1,9853,1,37,4,130.2,1,0,19,0,0,6,0,0,0,12.7,3.7,Dropout
1,9254,1,1,4,111.8,1,1,21,0,6,6,8,5,0,8.9,1.4,Graduate
1,9085,1,37,5,137.1,1,1,18,0,4,5,5,5,0,10.8,1.4,Graduate
1,9773,1,37,9,120.7,1,0,20,0,5,6,7,0,0,15.5,2.8,Dropout
1,9238,1,38,5,137.4,1,0,18,0,1,6,14,2,0,10.8,1.4,Enrolled
1,9500,1,1,5,127.3,1,0,18,0,7,8,8,8,0,15.5,2.8,Graduate
1,9130,1,19,3,136.3,1,0,20,0,4,5,8,4,2,10.8,1.4,Graduate
1,9853,1,19,7,124.6,1,0,18,0,6,7,8,6,0,16.2,0.3,Enrolled
1,171,1,1,9,120.3,1,1,21,0,0,0,0,0,0,11.1,0.6,Graduate
1,9556,1,38,4,121.8,1,0,20,0,7,8,9,8,0,12.7,3.7,Enrolled
1,9500,1,19,1,125.5,1,0,18,0,7,8,12,7,0,12.7,3.7,Graduate
1,9670,1,38,4,114.9,1,1,19,0,6,6,7,6,0,11.1,0.6,Graduate
1,9500,1,19,3,123.9,1,0,19,0,6,8,9,7,0,11.1,0.6,Graduate
1,9238,1,38,9,157.0,1,1,18,0,5,6,12,4,0,7.6,2.6,Enrolled
1,9238,1,38,7,116.4,1,0,21,0,6,6,9,6,0,16.2,0.3,Graduate
1,9085,1,19,3,131.0,1,0,18,0,5,5,7,4,0,9.4,-0.8,Enrolled
1,9147,1,1,9,122.1,1,0,20,0,5,5,6,5,0,16.2,0.3,Graduate
1,9500,1,3,1,118.8,1,0,19,0,6,7,7,6,0,16.2,0.3,Enrolled
1,9003,1,5,4,150.0,1,0,21,0,5,6,17,5,0,16.2,0.3,Enrolled
1,9070,1,3,125,130.0,1,0,20,2,6,6,9,4,0,8.9,1.4,Graduate
